#1 String,#2 String
"Yes, Dad?",Yes Dad?
a man carves an ice block with a chainsaw.,A man is working with a dangerous tool.
"I pray to God, but I do not feel that I am praying to an exclusively Jewish God.",I feel that my prayers are not directed to an exclusive Jewish God.
The woman sat on the bench while the children ate ice cream.,A person is with some children.
"Bo-ra-qua-sco! They all chanted enthusiastically, and a few guys even developed a tick of the left eyelid.",They were all excited.
As for the T- The word transubstantiation is commonly used in the Roman Catholic Church to indicate that God acting in the Eucharist effects a change in the inner reality of the elements.,The word transubstantiation is commonly used in the Roman Catholic Church.
A woman sitting surrounded by produce.,A person near some produce
"Steel is the major hardware component for FGD systems and is used primarily for the absorber, ductwork, and supports.",Steel is the major component for FGD systems.
"Thus the Ku Klux Klan wore the vestments of the Catholics they despised, and the John Birch Society organized itself in secret cells and front groups modeled on the Communist foe.","The John Birch Society orgainzed itself in secret calls and fornt groups, that were modeled on the Communist foe, and wore the vestments of the Catholics."
you know this is the way i feel about this and this is the way because i it's you know when you when you if you if you teach them when they're little the way you want them to be and the things that are important to you then you just you add onto it as they get older,teach them how you want them to act when they're young
"Speaking to University of Georgia School of Law graduates at their 2000 commencement, he said, The cold, hard reality is that far too many people face the possibility of an unjust outcome because they must navigate an often complicated legal system without the benefit of competent counsel.",He noted that people often get unjust legal outcomes because they don't have competent counsel.
"Three ballerinas dressed in white, dance outside while a woman in a black dress looks on.",A woman watches ballerinas
A girl with a hat is sitting outside on a table with a bike leaning against the table.,A girl is sitting outdoors.
and i just kept that thing on constantly because i was going English language this is wonderful and and they at least i kind of knew what was going on on the other side of the world and trying to keep up with,I was concerned with events on the other side of the world.
yes uh-huh yeah yeah you have to i mean you honestly do now i have friends that i love to death but and they have children but their children does anything we have to take them and,I do have friends that I love.
This hilltop suburb 8 km (5 miles) southwest of Palermo boasts Sicily's finest cathedral (12th-century) and one of the best medieval mosaic cycles in Europe.,You can find Sicily's finest cathedral in this hilltop suburb.
The bill failed in the 1997-98 session but passed the following year.,The bill was voted down in 1998.
The old armory is now the Michelangelo Hall (Sala Michelangelo) greeting you with a dour bust of the master by Daniele da Volterra.,The Michelangelo Hall used to be an armory.
There is more to Christianity than the Christian right--both Roman Catholic and evangelical/fundamentalist.,Christianity is about more than just the Christian right.
A choir sings outside together.,A choir singing together.
"In return, the British learned the delights of polo (imported with the Mughals from Persia and Afghanistan) and a kind of game-hunting that made grouse-shooting seem tame.",The British adopted polo from Persians.
"On a microscope slide they etched a hockey rink with laser, agreed on the rules, connected the microscope's camera to the big screen display and played until the morning.",They played hockey on a microscope slide with the image projected on to a big screen display.
A man in a black shirt fishing on a rocky shore.,a man is fishing
it's so it almost needs to be something that has more impact for the individual on going,it nearly has to be a thing that affects the individual more
A clown blowing a whistle.,A clown making a noise.
"For a quick overview of the topics discussed in this report, see the summary section.",The summary section provides an overview of the report's topics.
Two men are looking at their crops in a tropical looking area.,the men are outside
yeah i know  the trees are real pretty right now and everything and uh i don't know i know the pollen is real high but i think it's higher than usual isn't it,The trees are pretty right now and the pollen seems to be higher then usual.
A child sliding face first down a metal tube,The child is sliding face first
Las Vegas Mini Gran Prix boasts the west's only banked-oval stock car track.,The Mini Gran Prix is a banked-oval stock car track.
He says this will make our system the best.,He says it will make the system great.
A man is pulling a group of children in a horse-drawn cart past stone buildings.,A horse is pulling a cart of children.
A football player in red chases a football player in blue.,A football player in red goes after a blue player.
A man kneels down to hammer rock outside in the sun.,A man is outside in the sun.
People watch as a man throws something in the air.,The man is throwing something.
A girl shows off a colorful board with batteries that looks like a science project.,A female is holding an object.
a child in an orange sweater is playing with a child in blue clothes on a white couch under a red painting.,There are two children currently indoors.
A girl in a white cap eats a slice of fruit next to a girl in a blue cap who is eating chocolate.,There is a girl in a white cap eating a slice of fruit.
"Although many single-visit alcohol interventions in medical settings have been effective,32 the context of the emergency setting does increase the importance of considering follow through after the initial contact.",Many single-visit alcohol interventions in medical settings have been effective.
A man with a bowtie looks at the camera with no expression.,A man is looking at a camera.
um-hum oh it's never a pleasant thing that's true,"It's a very unpleasant thing, that's true."
A female lacrosse player in blue chasing another in white who is moving away with the ball.,People are playing lacrosse
A man sitting in front of computer monitors pinching his brow.,A man is in front of computers.
"This kind of qualification is often ridiculed as evasiveness by those who demand no ifs, ands, or buts.","This kind of qualification looks like it's often evaded, according to people who are sure and determined."
Young boy covered in grass jumping near a wooden fence.,A young boy jumps.
The Dallas Morning News reported that confidential defense reports show Timothy McVeigh confessed to the Oklahoma City bombing.,The Dallas Morning News reported that McVeigh confessed.
The Belgian detective who was employed on the case asked me to search for it.,There was a Belgian detective assigned to the case.
well if we all try a little bit a little bit goes a long way you know,"Making an effort, no matter how small, is useful."
"Weld hurt himself by attacking the chairman unfairly and with political rhetoric that was just uncalled for, Lott complained.",Weld attacking the chairman only hurt him in the long run.
The label the  Lake District  is actually a little misleading.,"In fact, the Lake District title is slightly deceiving."
A man has a pink ribbon around his arm.,A guy with a strip of cloth around his bicep.
"The Merchant struggled violently and, of course, quite futilely.",The Merchant's struggle was futile.
A woman in a white halter top and white short is motioning with her hands.,The woman is moving her hands.
The black dog is in the water with a white object in its mouth.,A dog is wet and carrying something.
Kids in bathing suits with water splashing around them.,Kids splashing.
This analysis includes the information required by paragraph 604(a) by summarizing and evaluating comments received.,Comments received were summarized and evaluated.
"The River Brathay runs alongside the main road, carrying water from the fells that eventually flows into Lake Windermere.",The main road runs alongside Brathay River.
A football player in a Sooners uniform.,A football player wears a uniform.
A street in a city with cars and buildings.,A street has cars on it in a city.
"Two young, blond girls in red and white ball uniforms with people behind them.",Young people in sports attire are in front of other people.
i've only lived here about six years so if if if i have one it must be very very slight but the Yankees can hear it,If I have one it is barely noticeable because I have only lived here for about 6 years.
Indicators of success -- Salaries and compensation packages are competitive with other nonprofit and public interest organizations.,An indicator of success includes salaries and compensation packages.
A group of Asian people are walking on a busy street.,The group of people are outside.
A quarterback scans the football field while the offensive line protects him.,A football team is playing on a field.
A homeless man being observed by a man in business attire.,The homeless man being observed by a man in busiess attire
A man in a black jacket and a woman with a pink shirt walking under a concrete bridge,man and woman walk
"In many areas, the density reaches the equivalent of 150,000 inhabitants per square km (a quarter square mile).",The population density in many areas is equivalent to over one hundred thousand inhabitants per a quarter square miles.
"The undisputed centre for nightlife on the island is Sant Antoni, where establishments range from big brash nightclubs to the smaller clubs and bars with disc jockeys or live music of various kinds, including jazz.",Jazz is among the styles played in Sant Antoni.
A man dressed in clergy garb sits in a wooden structure.,A man sits in a wood structure.
A dog plays with a ball with a large office building behind it.,A dog is playing outside.
well it's got to be frustrating as hell for a particularly a cop you know they uh they go out and  make the arrests and i guess the  jails crowded the way they are before they can get the paperwork finished huh they're releasing them or they're releasing somebody just like them you know it's a revolving door that uh,"Jails are crowded, so sometimes criminals are released before their paperwork is finished."
Three men sitting on steps.,Three men sitting.
Whittington was there right enough.,Whittington was there all right.
A tennis player winning her first match.,A tennis player is playing tennis.
Young child playing with a soccer ball in a grassy area.,The child is outdoors.
A black man in white clothes walks a blue drink cart down a cobbled street.,A man is walking with a cart.
A man helps up a woman who has fallen after kicking a soccer ball.,A man helps a woman get up after she fell kicking a ball.
The young man is performing a summersault in the air with a bicycle.,a woman performs
This museum of ancient art focuses on Buddhist statues and sculptural styles from around 600 through the Middle Ages.,Some of the Buddhist statues and sculptural styles date back over one thousand years ago.
A woman in blue track pants rakes a lawn in front of a brick building.,A woman is raking the lawn in the front of the building.
"A boys soccer game is taking place, and one boy in a white jersey is kicking the ball.",somebody is making contact with a round object for sport.
A child rides down the snow in a tube.,A child is playing in the snow.
"Man in shower with shampoo in his hair, toothbrush in mouth and shaving his face.",The man can grow facial hair.
"Agia Anna, and the long sandy spit of Agios Prokopios are two of the most popular.",Many visitors like to see Agia Anna and Agios Prokopios.
Girl playing basketball while holding the ball in her hand from the other team in order to make a shot in the hoop or pass the ball to one of her teammates.,A girl is playing basketball.
"A person in a yellow hat, carrying a bag and a fishing pole, walks in a grassy area near a small body of water.","On the grass near the water, a person in a yellow hat walks carrying fishing gear."
"Grill room? inquired Tommy, as they reached the opposite pavement in safety.",They crossed the street safely and Tommy asked about the Grill room.
"In Japan, New Year's Day is the big festival, closest in spirit to Christmas in the West, the time when relatives and friends pay visits to each other and to the local shrines.","On New Year's Day, Japanese visit their relatives and friends as well as make a trip to temples."
A mother is trying to get her son to eat food at a restaurant.,The mother wants her kid to eat.
"She was saying, finally, ""I tell you they're in the barn.",She said they are in the barn.
"A woman in black holds a cigarette and a shopping bag, while an older woman crosses the street.",The woman is wearing black.
A woman in a pink jacket is swinging on a swing-set with some trees in the background.,A woman swings.
"Since nobody thinks we are overstating employment growth, he must believe that the official statistics understate true output growth by exactly the same amount.",True output growth seems to be impacting employment growth.
He repeated the name thoughtfully.,"He spoke the name again, thinking."
a boy smiles by the pool.,A boy is near water.
A man observes antiques in a store.,A man observes old antiques in a store.
Slate Briefing Channel is open for business on Microsoft Internet Explorer 4.0.,Slate Briefing Channel is available.
A few long fairway shots away from Josephine's birthplace at La Pagerie is Martinique's 18-hole public golf course.,Martinique's public golf course is only a short distance from Josephine's place of birth.
A child is eating something very close to the camera while other children sit at a table behind him.,a child is eating while sitting at a table
A young woman in a blue tank top and baseball cap dances along a beach barefoot.,The woman is outdoors.
"The principles offered in this guide are intended to provide insight into what CIOs at leading organizations consider critical to their success, and provide advice to federal CIOs and senior agency management as they work to improve the use of information technology and management in the federal government.",This guide will provide advice that can be used by federal CIOs and senior agency management.
"A teal-haired woman in a very short black dress, pantyhose, and boots standing with right arm raised and left hand obstructing her mouth in microphone-singing fashion is standing.",there is a woman standing
"A blue-eyed woman with red-hair and glasses looks up at the camera while holding a hamburger with a bite out of it, as she sits on a boat with four other young people who are drinking and eating.",The woman is eating a hamburger.
Two couples are about to get married.,people are at a wedding
Four men use hoses to pour water while in an austere environment.,men pour water in a strict environment
"Two men on separate mopeds with objects strapped to the back of their vehicles drive down a street, passing a pedestrian.",Two men on mopeds drive down the street.
you would,You can
"UNLV's basketball team has a storied history, winning the NCAA title in 1990.",In 1990 the UNLV basketball team won the NCAA title.
and see they do that as their job whereas you know for us it and they make it cheaper for us to buy so,It is there job which makes it cheaper for us.
i guess it it might would yeah um-hum yeah well it will make it will make them taste better i'm sure,It would make them taste better.
"Obviously, it's easy for me to complain about players who aren't big on self-effacement or deference to authority.",Some players are not respectful of authority.
Two men in hard hats inside a structure look at a yellow tractor.,Men are looking at a yellow tractor.
A man in a cowboy hat is riding a horse around a barrel.,A man horse back riding
A man that is wearing a gray military shirt with medals and a light blue cap with gold on it is waving his arm.,A person wearing a gray shirt is moving.
A shirtless man leaning off scaffolding surrounded by hanging yellow fabric.,a old man was talking
"A recent redesign has added space to the museum of modern art, which is divided into two Les Modernes (1905 to 1960) on the fifth floor ' displaying works by such key figures as Brancusi, Dada, Kandinsky, Matisse, Mir??, Picasso, and Man Ray ' and Les Cetemporains (1960 to the present) on the fourth floor.",The museum of modern art has two sections.
Remember my life is of the utmost value to my country.,My country holds my life in great value.
Three people are in a sailboat on the water.,People are in a sailboat.
Nye got him to Doc's an' they put him to bed.,"After Nye brought him to the doctor, they put him to bed."
"You can, though, aspire to half measures that do two things.",Not taking all the precautions necessary produces two effects.
A man is jumping up in the air on the side of a road by a car with people in it.,There is a person next to an occupied vehicle.
And you have known this all along?,And you have known this throughout the proceedings?
A few men on a boat in the ocean with a flock of seagulls nearby.,There are men near a group of birds.
A young boy wearing a spider-patterned shirt on the sand.,the young boy is on sand
"New drugs make flaccid men potent, but not without dangers (one man remained aroused for more than 24 hours).",New drugs giving men potency come with dangers like being aroused for an entire day.
A god who cared little for the ways of man but whose breath shifted their lives like wind through grass.,They believed their God could be felt on the wind.
A group of people crossing a road.,People are crossing the road.
"Although the Vice President did not use the term aExecutive Privilege- in his August 2 letter, his assertion that providing these facts would unconstitutionally interfere with the executive branch and his focus on confidentiality of communications use the same language and reasoning as assertions of Executive Privilege.",The Vice President said that he did not want to provide the information.
A person sitting at a table with their feet propped up looking at a device of some sort.,The person is looking at something.
A crew gets a plane ready to take off.,People are at an airport.
"Two boys, one in a red shirt, the other in a white shirt are splashing around in the water.",two boys are swimming.
A black and white dog is herding a group of sheep on a dusty road.,The dog is leading the animals.
A person stands next to a pink car.,A person is standing.
A woman wearing orange looking upward.,A woman gazes skyward
"A bunch of people twirled past me, dancing.",People were dancing to the music.
Hong Kong Comes Back,Hong Kong returns.
4 people are strapped to an amusement park ride,People are at an amusement park.
A man painted orange in orange pants is standing with a person painted red with black and gray wings.,Two people are near each other.
oh um-hum where where is Toledo Bend,Where's Toledo Bend located?
A man and a boy are playing in the sand.,Two people are playing.
A man is bowing his head and clasping his hands together in front of a gold statue.,A monk is praying.
A basketball player falls to the court floor.,A sports player falls on his court
"Some are put off by the cost of a hiring a divorce lawyer, which starts at about $1,500.",It costs a lot to hire a divorce lawyer.
"Female wearing a pink helmet, white shirt and white gym shorts, parking her motorcycle along side a busy sidewalk cafe.",The female is outdoors.
It's near the port; its clocktower is a famous landmark.,"Its clocktower is a famous landmark, it is near the port."
A final factor affecting the environment is the agency's relationship with the Congress and central oversight agencies such as OMB.,The environment is affected by agency's association with Congress.
and uh a great disappointment for some people like myself,It was a great disappointment to me.
Could the strychnine have been administered in Mrs. Inglethorp's after-dinner coffee which was taken to her by her husband?,Could Mrs. Inglethorp's husband have taken her coffee that was administered with the strychnine?
yeah that's that's interesting uh i think it's interesting that parents think that their small children learn violence from TV people were just as violent before TV was invented maybe even more so,Violence in people was observed prior to the existence of the TV.
Two little girls are hanging by their arms from a metal bar.,Two persons are hanging from a bar.
Two people stand on a beach and look to the right.,People are standing on the beach.
Three young boys are selling bags of popcorn to the general public.,Three young people sell a type of food to other people.
Algeria and the former Soviet Union have also added significant capacity.,The capacity of Algeria and the former Soviet Union has increased recently.
Their crisis came on 24 August 1572 with the infamous Saint Bar?­thol?­o?­mew's Day Massacre.,Saint Bartholomew's Day Massacre presented was an emergency for them.
The woman holds a small infant in a baby carrier on her chest.,A woman is holding a small infant.
"The second version, posed by a Reuters correspondent, was whether Bush thought rumors of his cocaine use were being planted.",A Reuters correspondent suspected Bush of using cocaine.
"But for the past month, and especially last week, there has been a kinder, gentler Monica, an innocent trapped in a scandal not of her own making.","Monica was kinder and gentler lately, being stuck in the middle of the scandal."
"A group of race horses bearing the numbers 2, 6, and 8 are racing along a grass track.",horses are running
A workman dealing with water spraying all over.,A person getting wet.
Her hand closed on the oilskin packet that had lain in his palm.,She put her hand over over the oilskin packet that was sitting in his palm.
and that's all he has he has a ten dollar bill,A ten dollar bill is all that he possesses.
so i got out of that and got back into the Master's and then decided well paralegal is really the nuts and bolts of the law and that's what i really like yeah,I decided to be a paralegal instead.
you're at yeah you're right across the uh lake from what Plattsburgh,You are located right across the lake from Plattsburgh.
Man playing an instrument on the sidewalk.,The man is playing an instrument
"The earliest name associated with the city, Ur usalim, perhaps meant  city of Shalim  or  founded by Shalim.",Ur usalim was the earliest name for the city.
was easier you know it really it really was is easier to work i think,It seems like it's really easier to work.
"Set on the hillside above the town, it comprises 14 hectares (35 acres) of tropical plants and natural waterfalls that once formed the grounds of the now-closed Shaw Park Hotel.",The grounds of the former Shaw Park Hotel now consist of 35 acres of waterfalls and tropical plants.
A group of youngsters plays in a shady city park.,A group of kids play in a city park.
Two people with bicycle helmet riding bikes in a park.,"There are two people who are using their own bikes, and their own helmets."
It is disingenuous to say we should do  Money is scarce and so is political capital.,Money and political capital are scarce.
A woman in a black jacket is leaning against a lamp post.,A woman is leaning on a lamp post.
A woman in a wheelchair follows a young boy at a park.,A woman follows a boy.
"According to an index of food prices in Bailey's book, food prices in 1996 were up 8 percent since 1990, but down 113 percent since 1975.","According to food price indexes found in Bailey's book, food prices have increased since 1990."
"Come on, Julius.",Julius is being encouraged.
A group of pedestrians walk along a snowy road in front of the Adobe software building.,A few people stroll down a street by major program center.
oh were you really trying to find someone at home well you know um back then what they try to do you know the  would always try to stump Jesus try to give him something that would contradict himself,Back in the day they gave Jesus a lot of flack.
Two Asian men working at a booth in an outdoor market.,Two men are working at a booth.
"I'm a pawn in their game, Albert, that's what I am.",I'm a mere chess piece in all of this.
A woman carries a volleyball.,A female has a ball in her hands.
FASAB is publishing the Codification as a comprehensive basis of accounting for Federal reporting entities.,FASAB is publishing the Codification as a comprehensive basis of accounting for Federal reporting entities.
Politicians get away with advertising bogus family bliss,Politicians get away with false advertisements of family happiness.
A boy wearing red swim trunks is swinging from a rope into the water.,A boy wearing swim trunks swings from a rope.
yeah i just wish it was a little more convenient convenient to do you know,I want it to be easier to do.
A person with a lolly pop and a white shirt is smiling in a store.,A person has a lollipop and smiling.
Two women are laughing on the floor with toy wands.,The ladies are laughing.
"Man talking on a phone, surrounded by books in an office.",A man is in an office.
"Three dogs, one Rottweiler with a tennis ball in its mouth, one Irish Setter and one Corgi are running in field.",Three different types of dogs are playing in a field.
Helmeted biker makes a fast right turn on weedy road.,A person is riding a bike
"Because SAWS and H-2A workers were deemed to be permanent resident aliens, they became subject to the presence requirement in the Corporation's appropriations act.",SAWS workers became subject to the presence requirement.
"Their papers and documents, some 20,000 boxes worth, are stuck in a storage facility in Linden, N.J.","There are well over 10,000 boxes of paper work in storage somewhere in New Jersey."
A man and little girl splashing in pool.,A man a girl are in a pool playing.
"A man, lying on the grass, hand outstretched to another arm.","Man lying on grass, with his hand reaching toward someone else's"
2 children in front of a jazz band.,Children at  show
People are making purchases at a outdoor food market.,People are buying food.
A dog on a log looks at a splash in the water as another dog looks on.,Two dogs are together near the water.
oh you know a lot about it then yeah,You know a lot about that.
"And it has attracted a bipartisan who's who panel of advisers, including Republicans Deaver, Molinari, and Bond, and Democrats such as Carter Eskew, a former adviser to Vice President Al Gore.",It has attracted Deaver.
Men sit at a table with name tags and in front of a large sign.,Men sit together.
5 guys in front of a black Volkswagon car and 2 guys are holding white boxes.,Guys holding boxes in front of a VW
Sir James shook hands with him warmly.,They shook hands.
Two young children standing with a security guard.,Humans standing
A person wearing a blue suit with large peacock feathers is holding a microphone while standing on a stage with others who are playing musical instruments as a fog envelopes them.,A person with bird plumes is on a misty platform with musicians.
An older man is playing a guitar and singing into a microphone.,A man singing and playing an instrument.
Two men are sitting on a couch talking.,Men sit and have a conservation.
"In any case, it's hard to imagine Clinton's vice president, Al Gore, accepting bundles of cash in his White House office as Spiro Agnew did.",It's very unlikely that VP Al Gore would be as foolish as Spiro Agnew to accept money in his White House office.
A crowded street in Europe.,crowd in street
A male gymnast swinging from two hoops.,A male gymnast swinging from two hoops
"The best practices are organized into five categories related to the role of the owner, teamwork and collaboration, advance planning, process, and benchmarking.",Best practices are organized into multiple categories.
"The Wall Street Journal reported that in 1994, while at Commerce, John Huang consulted with Rep.",The Wall Street Journal existed at least as early as 1994.
Hiking trails abound in the Santa Monica and San Gabriel mountain ranges.,Hiking trails are plentiful in the mountains.
"'You're smarter than me,' I pointed out.",I said he was smarter than I was.
A little girl is sleeping with a book.,A little girl is asleep
Hopefully along the way you find something you enjoy.,I'd be happy if you found something that you appreciate.
"Saturdays bring throngs of teenagers from the suburbs to shop, watch films, roller skate, munch fast food, and just hang out.","Throngs of teenagers on Saturdays are brought from the suburbs to shop, roller skate, munch fast food, watch films, and just hang out."
One child casts a prayer before a lit candle.,A child praying at candlelight.
"As recognized by the President's National Energy Plan (NEP), one of the principal energy challenges facing us is increasing our energy supplies in ways that protect and improve the environment.",The President's NEP says one principal energy challenge is increasing energy supplies in responsible ways.
You've got it!,You have it!
"WWII Victory Day parade with soldier marching down street, dressed in vintage gear and holding rifles.",Soldiers are marching in what appears to be a WWII Victory Day parade.
A young woman is trying on a pair of brown boots.,A woman is trying on clothing items.
"Thank you, Balbina answered and a moment later added:",Balbina thanked in response and then said something afterwards.
A female brunette gymnast with a ponytail and wearing a dark blue and white leotard performs an aerial maneuver in which she is upside down and perpendicular to the ground.,The brunette is wearing blue.
Some people on a pier at night with one girl fishing off it.,There are people outside.
A man and woman watching two kids while the man holds a balloon.,The man is holding a balloon.
a group of girls at talent show.,A group of people is at a talent show.
A woman in white is holding a blue umbrella and walking in the rain.,There is a woman outdoors.
you can throw big tents and food and and stoves and everything in and all you have to do is just you don't even have to if you go downstream you hardly even have to paddle and it's uh,"If you go downstream, paddling isn't even necessary."
Economic Report of the President.,The President made an Economic Report.
A young man in swim shorts is jumping over a wave in the ocean.,A man jumps over a wave.
It's the cutest darn thing you've ever seen.,It is really cute.
Person on bicycle doing a trick on white fencing.,A person is riding a bike.
"Leading the  repub?­lican  hostility to the Church's entrenched position in the schools, in 1882 Jules Ferry enacted the legislation that has formed the basis of France's formidable state education system ever since.",Ferry enacted legislation in 1882.
Woman in a sweater walking on a sidewalk.,A woman walks outdoors.
A crowd of young Asian men toasting one another at a gathering.,There are some men in this picture
A boy is doing a skateboard trick on the boardwalk.,A boy is riding a skateboard outside.
One man and one woman studying something,People are studying.
A long-haired woman with sunglasses is dancing with two other people in a parade.,The lady with the long hair is wearing her sunglasses while dancing with people in the parada
right and uh usually i cut those little cherry tomatoes up and put some color into it you know and i'll lay those on top of my salad you know to make it look nice and things like that,Cherry tomatoes add color so I just cut them up and put them in the salad.
"Traditionally, federal agencies have used the amount of money directed toward their programs, or the level of staff deployed, or even the number of tasks completed as some of the measures of their performance.",The federal agencies thus far has put the money towards their programs.
"At the same time, an understanding of the information technology and management practices of leading organizations could contribute to the development of improved CIO management practices in the federal sector.",An understanding of the information technology and management practices of leading organizations could contribute to the development of improved CIO management practices.
The programs continue to explore avenues for improving services to clients.,The program wants to improve customer service
Several news media workers are holding out microphones to two men.,News media workers are interviewing two men
A boy on a skateboard sliding on a rail.,The boy is skateboarding.
A dirt biker is taking a large jump wearing a yellow suit.,Someone in a yellow suit is riding a dirt bike.
An Asian woman in brightly colored clothing is playing some sort of musical instrument.,There is a woman in this picture
A young child and a woman are standing around a caged rooster.,A child and woman are standing
Band playing in front of a crowd.,The band was playing.
Where to? Mr. Whittington smiled again.,"Mr. Whittington smiled and asked ""Where to?"""
Several people are talking in an alleyway.,several people are having a conversation in the alley
Older woman in an orange dress standing on a waterfront.,A woman standing outside.
we have had no snow to speak of to speak of,We did not get any snow.
A man does a one handed handstand on a hardwood floor.,A man is performing a trick inside.
A man wearing camouflage pants and a tan shirt holds a drill while another man wearing a hard hat with colors like the American flag holds the board that is being drilled and a third man holds a ladder.,Three men helping to drill a board.
It concealed a very opposite emotion.,There was a concealed emotion.
A skateboarder in a white shirt grabs the side of his skateboard in midair.,A skateboarder is in the air.
Hikers walking along a trail overlooking a valley.,The hikers are climbing up the mountain by the valley.
"Miss Howard, I explained.",I elaborated.
Man in gray shirt about to punch a punching bag.,The man is wearing grey.
Not even 'I'm sorry'?,Someone did not apologize.
"Christ Church will also come into view, as will the Catholic St. Audoen's; and no, you're not having a vision that really is a statue of a blue- and white-robed Jesus blessing you from a rooftop corner.",A blue and white robed statue of Jesus stands on a rooftop corner.
The man is talking on his cellphone in front of a sports store.,The man is outside.
A boy holding a large foam wand waves it near a swimming pool.,The boy is outside.
"A smiling young man with glasses and wearing a t-shirt sits at a table eating what appears to be a salad, with a red bowl of salad, a drink, and other food nearby.",The man with glasses was eating a salad.
A three-man team scores points each time the ball hits the ground on the opponent's court or if the ball is hit out of the court.,A three-man team scores each time the ball hits the ground on the other side of the court.
"Finding his forces outnumbered and overextended here, the young prince beat a tactical retreat, but the English army hounded him relentlessly.",The young prince's forces were outnumbered and overextended.
In his third vision Jon saw Adrin moving east until he saw the flank of the riders.,"Jon had many visions, his third one of Adrin moving east until he spotted the riders."
A man and a woman are standing on top of an outdoor toilet.,The man and woman are near each other.
The large brown dog is sitting on the path next to a tree.,The dog is enjoying the outdoors.
"Aficionados of Spanish art and Goya in particular should not miss La Ermita de San Antonio de la Florida (Glorieta de San Antonio de la Florida, 5).",Those who enjoy Spanish art should not miss La Ermita de San Antonio de la Florida.
"Dog in water, looking over shoulder at camera.",The dog is in the water.
He motioned to Tommy to sit down opposite to him.,He gestured to Tommy to take a seat.
"A closeup image shows a woman outdoors at night, wearing black gloves and a red knit hat, brandishing a white megaphone.",A woman is outside at night.
A man in skateboarding in an empty swimming pool.,A man is on a skateboard.
"Today Hong Kong remains a capitalist enclave with its laws and rights intact, and China has promised that Hong Kong will continue in this fashion for at least 50 years.",Hong Kong is a capitalist enclave because it has laws.
The boy in yellow pants dancing for a crowd on the square.,The boy is dancing.
"Structured Interview An interview in which questions to be asked, their sequence, and the detailed information to be gathered are all predetermined; used where maximum consistency across interviews and interviewees is needed.","In a structured interview, the questions and their order as well as the information being asked of interviewees are decided ahead of time."
shirtless children play in the water.,The kids where playing  in  the  water.
Two men celebrate at the bar surrounded by alcohol at a party.,There are people at a social gathering.
People getting water from a lake.,There are people outdoros
so you know you don't have to be an expert in any aspect of it at all,You don't have to be highly skilled in any aspect of it.
A man is leaning against a wall with his shoes off.,A shoeless man is leaning.
The white dog by the water.,The dog is near liquid.
"The whole is worthy of its nickname, church of gold.",The structure's nickname involves gold.
"Eat him, Barik, and you drink on me! said the man in the purple hat.",The man offered Barik a drink in exchange for eating him.
A young girl pets a white goat while it sleeps.,A little girl strokes a sleeping goat
Children all dressed the same are standing outside a building.,Humans standing.
a small boy holding pieces of a map while volunteers watch.,The map is behing held by a child.
yeah are you single okay uh,Are you in a relationship with anybody right now?
A person has a cigarette in their left hand and their hand is touching their head.,A person smoking
but out in the country i mean if i went outside while he was mowing the grass i was going to have a gigantic attack,I could not go outside while he was mowing the grass.
A group of people have gathered behind two men in turbans.,A group of people stand behind two men.
"Under the rider the big stud moved, tossed his head, drawing the young man's attention from the town back to his own immediate concerns.",The big stud had a rider on him.
Two dogs play with a toy.,Two animals are playing with an object.
A glamorous looking woman holding a cigarette in one hand and a glass of wine in the other blows kisses.,A woman with wine
oh they're just gorgeous but yeah  three hundred and fifty dollars for a kitten and i think of those i think of the kittens at the pound,A kitten would cost over three hundred dollars and I am thoughtful about the rescue kittens.
"Along the foot of Mt. Wakakusa is the Kasuga Grand Shrine, established to house the Shinto deities of the powerful Fujiwara family.",The shrine is at the base of the mountain.
A young boy and girl are trying to hit a man with balls in a fair game.,A boy and girl aim balls at a man.
uh films and now the kids and i were going to put them on video,I was going to put them on video with the kids.
The little girl is sitting in the chair with her head resting on the arm of the chair.,A girl is resting her head on the arm of a chair.
Critics protested that 1) the heroin look faded from fashion magazines months ago,The fashion magazines had not featured a look referred to as the heroin look in awhile.
A red and white hot rod comes onto the racetrack.,A car is on a race track.
A boy wearing black swimming trunks is standing in a fountain.,A boy is standing in a fountain.
"A man drives a bulldozer through a green, rocky field.",A bulldozer is moving.
Long Beach established itself as a premier seaside resort by the early 1900s.,Long Beach was a premier seaside resort.
Two adults in black bathing suits jumping into a lake.,Adults in bathing suits jump into lake.
"But Mahavira (the Great Hero) pursued self-mortification to the end of his life, stripping off his clothes to take his word from kingdom to kingdom.",Mahavira traveled from kingdom to kingdom.
A man trying to fix the top lid of a trashcan with his shoes.,A male has shoes with him.
Two men are showing a fighting move while one man appears not to be enjoying it too much.,The man the move is being done on is in a bit of pain.
Woman with green head garment painting with a small brush.,A woman is painting.
This appendix describes tools and techniques for measuring the status of acquisitions involving significant software development.,Tools and techniques for measuring the status of acquisitions are in this appendix.
A fisherman with a white hat and dark pants lays his head on his lap while his fishing pole rests nearby.,A man is fishing.
Any one of us who has studied elementary alchemy could blow a globe of it to the right size for the sky dome.,Any student of basic alchemy could make a globe the right size for the sky dome.
he has no intention of going back to the Philippines because there's no jobs,He does not intend to return to the Philippines.
A man wearing sunglasses and a hat is singing into a microphone.,There is a singing man.
